タイトル,メモ,URL,コメント
A'Famosa Resort,,https://www.google.com/maps/place/A'Famosa+Resort/data=!4m2!3m1!1s0x31ce03ac4e88bbd3:0x3af14a6ebc2b1887,
The Pearl Kuala Lumpur Hotel,,https://www.google.com/maps/place/The+Pearl+Kuala+Lumpur+Hotel/data=!4m2!3m1!1s0x31cc4b943a514f51:0xb6f0106262d75429,
ペトロナスツインタワー,,https://www.google.com/maps/place/%E3%83%9A%E3%83%88%E3%83%AD%E3%83%8A%E3%82%B9%E3%83%84%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%AF%E3%83%BC/data=!4m2!3m1!1s0x31cc37d12d669c1f:0x9e3afdd17c8a9056,
Advanced Technology Training Center (ADTEC) Melaka,,https://www.google.com/maps/place/Advanced+Technology+Training+Center+(ADTEC)+Melaka/data=!4m2!3m1!1s0x31ce03dbd86ab3e3:0x44eabe2bab5ccfc9,
プトラモスク,,https://www.google.com/maps/place/%E3%83%97%E3%83%88%E3%83%A9%E3%83%A2%E3%82%B9%E3%82%AF/data=!4m2!3m1!1s0x31cdb61818046d5d:0x53f252ce4a40a088,
バトゥ洞窟,,https://www.google.com/maps/place/%E3%83%90%E3%83%88%E3%82%A5%E6%B4%9E%E7%AA%9F/data=!4m2!3m1!1s0x31cc470c8949a805:0xf2bfebb2b36f9ef9,
